Step,Time,TOTAL,Volume,Area,Angle,Length,Repulsion,Adhesion,Boundary
0,0,0,0,0,0,0,0,0,0
403,0.0200106,663.657,6.21047,87.4647,388.371,181.611,0,0,0
813,0.0400226,573.009,3.41632,73.6726,307.857,188.063,0,0,0
1222,0.0600117,537.397,2.67905,69.3961,276.797,188.524,0,0,0
1629,0.0800113,514.121,2.22469,66.5732,256.682,188.64,0,0,0
2032,0.100034,495.996,1.90291,64.8079,241.564,187.721,0,0,0
2429,0.120041,480.279,1.61892,63.1354,228.801,186.724,0,0,0
2823,0.14001,467.536,1.3891,61.573,217.574,187,0,0,0
3223,0.16001,457.416,1.22412,60.7276,207.47,187.994,0,0,0
3636,0.18001,447.823,1.09084,60.2482,197.204,189.28,0,0,0
4055,0.200002,435.661,0.9368,59.6219,185.468,189.634,0,0,0
4475,0.220034,421.234,0.754895,57.1604,174.39,188.929,0,0,0
4887,0.24001,409.866,0.6285,55.9349,166.52,186.782,0,0,0
5287,0.260013,401.731,0.550381,55.2692,160.842,185.069,0,0,0
5675,0.280024,395.865,0.500421,55.0395,156.492,183.833,0,0,0
6056,0.300037,390.984,0.466842,54.8116,152.829,182.876,0,0,0
6433,0.320029,387.099,0.442452,54.6293,149.634,182.393,0,0,0
6806,0.340003,383.406,0.422772,54.3838,146.672,181.927,0,0,0
7181,0.360011,379.957,0.400923,54.2623,143.667,181.627,0,0,0
7555,0.380037,376.572,0.377597,54.2098,140.604,181.38,0,0,0
7927,0.400005,373.236,0.35167,54.2479,137.501,181.135,0,0,0
8299,0.42002,369.938,0.322934,54.4566,134.326,180.833,0,0,0
8675,0.440016,366.068,0.293435,53.5431,130.992,181.24,0,0,0
9057,0.460019,363.28,0.264836,53.4837,128.178,181.353,0,0,0
9443,0.480029,360.98,0.241056,53.4883,125.703,181.547,0,0,0
9831,0.500037,359.132,0.222821,53.504,123.571,181.834,0,0,0
10221,0.52003,357.665,0.209292,53.5229,121.745,182.188,0,0,0
